iter	Passed	Remaining
555	20958	92126
556	21001	92111
557	21043	92095
558	21081	92057
559	21126	92049
560	21166	92023
561	21215	92032
562	21257	92014
563	21300	92002
564	21347	92003
565	21394	92005
566	21438	91994
567	21476	91953
568	21521	91946
569	21557	91904
570	21593	91856
571	21627	91803
572	21662	91755
573	21698	91710
574	21733	91660
575	21772	91624
576	21807	91576
577	21847	91546
578	21889	91525
579	21927	91490
580	21970	91475
581	22009	91440
582	22049	91411
583	22084	91365
584	22123	91328
585	22161	91292
586	22194	91235
587	22231	91195
588	22267	91149
589	22304	91108
590	22342	91072
591	22382	91041
592	22422	91013
593	22456	90958
594	22493	90921
595	22531	90881
596	22569	90844
597	22606	90802
598	22645	90770
599	22680	90723
600	22720	90694
601	22757	90651
602	22792	90603
603	22829	90561
604	22865	90518
605	22903	90479
606	22938	90433
607	22972	90377
608	23008	90334
609	23045	90292
610	23088	90274
611	23124	90230
612	23161	90188
613	23201	90161
614	23239	90123
615	23276	90081
616	23317	90057
617	23351	90005
618	23389	89966
619	23424	89921
620	23462	89881
621	23505	89865
622	23544	89830
623	23580	89788
624	23619	89755
625	23662	89734
626	23703	89708
627	23739	89666
628	23775	89621
629	23812	89579
630	23845	89525
631	23890	89512
632	23928	89477
633	23966	89440
634	24004	89402
635	24043	89369
636	24082	89336
637	24119	89295
638	24154	89247
639	24188	89196
640	24228	89164
641	24271	89145
642	24307	89103
643	24344	89061
644	24384	89031
645	24422	88996
646	24460	88957
647	24498	88921
648	24538	88890
649	24579	88865
650	24618	88831
651	24656	88792
652	24696	88764
653	24736	88733
654	24772	88689
655	24809	88649
656	24844	88602
657	24881	88558
658	24916	88513
659	24953	88471
660	24991	88432
661	25025	88384
662	25064	88350
663	25102	88311
664	25137	88266
665	25173	88221
666	25211	88182
667	25245	88131
668	25285	88101
669	25324	88068
670	25360	88024
671	25398	87986
672	25433	87940
673	25470	87899
674	25506	87855
675	25544	87819
676	25578	87768
677	25613	87721
678	25647	87670
679	25686	87635
680	25729	87614
681	25766	87576
682	25808	87552
683	25845	87511
684	25884	87477
685	25923	87442
686	25960	87405
687	25995	87357
688	26032	87316
689	26070	87279
690	26107	87238
691	26145	87202
692	26183	87165
693	26219	87120
694	26256	87079
695	26295	87045
696	26329	86995
697	26389	87031
698	26432	87012
699	26476	86995
700	26516	86962
701	26553	86922
702	26592	86887
703	26629	86848
704	26683	86864
705	26721	86824
706	26763	86803
707	26807	86782
708	26853	86771
709	26896	86750
710	26936	86720
711	26980	86701
712	27020	86670
713	27063	86648
714	27103	86617
715	27147	86598
716	27181	86549
717	27214	86496
718	27253	86460
719	27292	86426
720	27328	86383
721	27370	86356
722	27405	86309
723	27442	86271
724	27483	86241
725	27525	86217
726	27565	86183
727	27609	86166
728	27648	86130
729	27683	86085
730	27722	86050
731	27760	86013
732	27792	85957
733	27828	85913
734	27861	85858
735	27900	85823
736	27943	85801
737	27976	85750
738	28012	85705
739	28047	85660
740	28081	85609
741	28120	85575
742	28158	85537
743	28193	85490
744	28237	85471
745	28274	85430
746	28311	85389
747	28344	85337
748	28384	85305
749	28424	85274
750	28466	85247
751	28509	85223
752	28551	85199
753	28599	85190
754	28646	85180
755	28682	85137
756	28717	85091
757	28757	85059
758	28796	85023
759	28853	85041
760	28892	85006
761	28934	84979
762	28980	84965
763	29025	84948
764	29069	84928
765	29115	84914
766	29155	84881
767	29196	84851
768	29233	84810
769	29271	84772
770	29318	84762
771	29364	84745
772	29401	84705
773	29442	84675
774	29486	84653
775	29544	84674
776	29579	84627
777	29614	84581
778	29650	84535
779	29685	84490
780	29729	84467
781	29773	84447
782	29810	84406
783	29858	84395
784	29902	84374
785	29943	84343
786	29980	84303
787	30017	84263
788	30058	84232
789	30097	84197
790	30133	84151
791	30168	84106
792	30203	84059
793	30241	84022
794	30277	83977
795	30312	83929
796	30351	83895
797	30388	83852
798	30428	83820
799	30465	83780
800	30501	83736
801	30541	83704
802	30579	83665
803	30620	83634
804	30654	83584
805	30689	83539
806	30726	83498
807	30762	83454
808	30801	83419
809	30836	83373
810	30871	83327
811	30909	83286
812	30944	83240
813	30979	83196
814	31020	83165
815	31058	83128
816	31101	83101
817	31135	83052
818	31173	83015
819	31209	82971
820	31249	82938
821	31286	82897
822	31323	82855
823	31359	82812
824	31394	82766
825	31435	82736
826	31470	82690
827	31509	82654
828	31545	82612
829	31586	82581
830	31623	82539
831	31659	82496
832	31694	82450
833	31732	82412
834	31770	82375
835	31809	82339
836	31843	82292
837	31879	82248
838	31914	82202
839	31950	82159
840	31988	82120
841	32030	82091
842	32066	82049
843	32103	82007
844	32143	81975
845	32183	81941
846	32225	81914
847	32260	81867
848	32296	81824
849	32332	81781
850	32372	81749
851	32410	81709
852	32446	81667
853	32482	81625
854	32524	81596
855	32559	81549
856	32595	81507
857	32632	81466
858	32667	81420
859	32701	81374
860	32735	81326
861	32769	81278
862	32807	81239
863	32842	81193
864	32879	81153
865	32920	81121
866	32967	81106
867	33003	81064
868	33040	81024
869	33077	80983
870	33115	80944
871	33155	80912
872	33190	80866
873	33228	80827
874	33265	80786
875	33305	80754
876	33339	80707
877	33377	80667
878	33413	80624
879	33448	80579
880	33488	80546
881	33526	80508
882	33563	80468
883	33602	80433
884	33638	80390
